ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
15826,Air Cooler COOLER MASTER Hyper 212 Spectrum V2 ARGB,CM-COOHY212SV2,RR-2V2L-18PD-R1,Hardware,Coolers,COOLER MASTER,64.22,21.0,0.0,10,70.64,286.5,20238.36,https://elit.com.ar/producto/15826-air-cooler-cooler-master-hyper-212-spectrum-v2-argb,8/1/2023 9:18:53 PM 
15829,Air Cooler COOLER MASTER Hyper 212 Black Edition RGB,CM-COOHY212RGBB,RR-212S-20PC-R2,Hardware,Coolers,COOLER MASTER,120.88,21.0,0.0,10,132.97,286.5,38095.91,https://elit.com.ar/producto/15829-air-cooler-cooler-master-hyper-212-black-edition-rgb,8/1/2023 9:18:53 PM 
15832,Fan Cooler COOLER MASTER MasterFan MF120 Prismatic ARGB,CM-COOMF120PRIS,MFY-B2DN-20NPA-R1,Hardware,Coolers,COOLER MASTER,45.34,21.0,0.0,10,49.87,286.5,14287.76,https://elit.com.ar/producto/15832-fan-cooler-cooler-master-master-fan-mf120-prismatic-argb,8/1/2023 9:18:53 PM 
15833,Fan Cooler COOLER MASTER MasterFan MF120 S2 ARGB,CM-COOMF120S2,MFW-B2DN-12NFA-S2,Hardware,Coolers,COOLER MASTER,15.1,21.0,0.0,10,16.61,286.5,4758.76,https://elit.com.ar/producto/15833-fan-cooler-cooler-master-master-fan-mf120-s2-argb,8/1/2023 9:18:53 PM 
15834,Fan Cooler COOLER MASTER MasterFan MF120 S3 ARGB,CM-COOMF120S3,MFW-B2DN-18NPA-S3,Hardware,Coolers,COOLER MASTER,20.81,21.0,0.0,10,22.89,286.5,6557.99,https://elit.com.ar/producto/15834-fan-cooler-cooler-master-master-fan-mf120-s3-argb,8/1/2023 9:18:53 PM 
15840,Accesorio Cooler COOLER MASTER Kit Brackets p/Socket LGA1700,CM-COOBRA5420,603005420-GP,Hardware,Coolers,COOLER MASTER,16.65,21.0,0.0,10,18.32,286.5,5248.68,https://elit.com.ar/producto/15840-accesorio-cooler-cooler-master-kit-brackets-p-socket-lga1700,8/1/2023 9:18:53 PM 
15856,Motherboard MSI PRO H610M-G LGA1700 DDR4,MSIMOTH610MDDR4,PRO H610M-G DDR4,Hardware,Motherboards,MSI,191.26,10.5,0.0,10,210.39,286.5,60276.73,https://elit.com.ar/producto/15856-motherboard-msi-pro-h610m-g-lga1700-ddr4,8/1/2023 9:18:53 PM 
15862,"Monitor LENOVO D22e-20 FHD 21.45""",LENMON66D2KAC6A,66D2KAC6AR,Imagen,Monitores,LENOVO,193.84,21.0,0.0,10,213.22,286.5,61087.53,https://elit.com.ar/producto/15862-monitor-lenovo-d22e-20-fhd-21-45,8/1/2023 9:18:53 PM 
15893,Fuente COOLER MASTER MWE V2 1050W 80 Plus Gold ATX Modular,CM-FUEGFM1050W,MPE-A501-AFCAG-WO,Hardware,Fuentes,COOLER MASTER,249.83,21.0,0.0,10,274.81,286.5,78733.07,https://elit.com.ar/producto/15893-fuente-cooler-master-mwe-v2-1050w-80-plus-gold-atx-modular,8/1/2023 9:18:53 PM 
15898,"Disco Interno SSD WESTERN DIGITAL Green 480GB 2.5"" SATA 3.0  545MB/s",WDSSD480G3G0A,WDS480G3G0A,Almacenamiento,Discos Internos SSD,WD,68.46,10.5,0.0,10,75.31,286.5,21576.32,https://elit.com.ar/producto/15898-disco-interno-ssd-western-digital-green-480gb-2-5-sata-3-0-545mb-s,8/1/2023 9:18:53 PM 
