Código,Descripción,Final USD,Final Esp USD,PROMO final USD,Categoría,Sub Categoría,Marca,Tipo de IVA
NM-AC08,NETMAK HUB USB 2.0 4 PUERTO CON SWITCH NM-AC08,5.49,5.33,,CABLES Y ADAPTADORES,CABLES USB,NETMAK,10.5
NM-GR10CC,NETMAK JERINGA GRASA DISIP. TERM.X 10 CC NM-GR10CC,6.4,6.21,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
NM-LD4,NETMAK LUZ RECARGABLE DELANTERA PARA BICICLETA NM-LD4,9.86,9.56,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
NM-LD5,NETMAK LUZ RECARGABLE TRASERA PARA BICICLETA NM-LD4,9.14,8.86,,CABLES Y ADAPTADORES,VARIOS,NETMAK,21.0
1041115,SBNT CABLE FIREWIRE 6 FEET SBT-CF64,0.32,0.32,,CABLES Y ADAPTADORES,CABLES AUDIO,SABRENT,10.5
MW300RE,MERCUSYS WIFI EXTENDER 3-ANTENA MW300RE,45.74,44.37,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
MW305R,MERCUSYS WI-FI ROUTER 300 MW305R /3 ANTENAS,35.67,34.6,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
MW325R,MERCUSYS WI-FI ROUTER 300 MW325R /4 ANTENAS,39.27,38.09,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
MW302R,MERCUSYS WI-FI ROUTER MULTI-MODE 300 MW302R /2 ANTENAS,30.82,29.89,,CONECTIVIDAD,ROUTER INALAMBRICO,MERCUSYS,10.5
UE200,TP-LINK ADAPTADOR DE RED USB 2.0 A ETHERNET UE200 ,28.17,27.33,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
UE306,TP-LINK ADAPTADOR DE RED USB 3.0 A ETHERNET RJ45 UE306,39.37,38.2,,CONECTIVIDAD,RED NETWORK,TP-LINK,21.0
TL-DECOX50-2,TP-LINK DECO X50 MESH WIFI AX3000 (PACK 2),645.28,625.93,,CONECTIVIDAD,ACCESS POINT,TP-LINK,10.5
TL-ARCHERT3U,TP-LINK P.RED WIRELESS AC1300 USB 3.0,42.94,41.65,,CONECTIVIDAD,ROUTER INALAMBRICO,TP-LINK,10.5
TG-3468,TP-LINK PLACA RED GIGA PCIE TG-3468,29.15,28.28,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
ARCHER T2U Nano,TP-LINK PLACA RED USB ARCHER AC600 NANO T2U,45.4,44.04,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
ARCHER T2U,TP-LINK PLACA RED USB ARCHER AC600 T2U,51.62,50.07,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
TL-SF1005D,TP-LINK SWITCH 5-P 10/100 TL-SF1005D,25.92,25.15,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
TL-SG1005D,TP-LINK SWITCH 5P GIGABIT DESK TL-SG1005D,50.26,48.75,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
TL-SF1008D,TP-LINK SWITCH 8-P 10/100 TL-SF1008D,36.4,35.3,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
TL-SG108,TP-LINK SWITCH 8-P GIGABIT TL-SG108,78.0,75.66,,CONECTIVIDAD,RED NETWORK,TP-LINK,10.5
TP-RE200,TP-LINK WIFI EXTENDER 2.4 Y 5GHZ TP-RE200,62.64,60.76,,CONECTIVIDAD,ACCESS POINT,TP-LINK,10.5
TL-WA850RE,TP-LINK WIFI EXTENDER 300 TL-WA850RE,54.41,52.77,,CONECTIVIDAD,ACCESS POINT,TP-LINK,10.5
CPE210,TP-LINK WIFI OUTDOOR CPE210 300MBPS 9DBI,154.85,150.21,,CONECTIVIDAD,ACCESS POINT,TP-LINK,10.5
CPE510,TP-LINK WIFI OUTDOOR CPE510 300MBPS 5GHZ,148.09,143.65,,CONECTIVIDAD,ACCESS POINT,TP-LINK,10.5
TL-WN781ND,TP-LINK WIFI PCIE 150 N TL-WN781ND,36.31,35.23,,CONECTIVIDAD,PLACAS PCI INALAMBRICAS,TP-LINK,10.5
TL-WN881ND,TP-LINK WIFI PCIE 300 N TL-WN881ND,42.09,40.83,,CONECTIVIDAD,PLACAS PCI INALAMBRICAS,TP-LINK,10.5
TL-WR820N,TP-LINK WIFI ROUTER 300 N TL-WR820N,49.43,47.95,,CONECTIVIDAD,ROUTER INALAMBRICO,TP-LINK,10.5
TL-WR841HP,TP-LINK WIFI ROUTER 300 N TL-WR841HP,111.49,108.16,,CONECTIVIDAD,ROUTER INALAMBRICO,TP-LINK,10.5
TL-WR850N,TP-LINK WIFI ROUTER 300M P/ISP  TL-WR850N,50.89,49.36,,CONECTIVIDAD,ROUTER INALAMBRICO,TP-LINK,10.5
TL-WR940N,TP-LINK WIFI ROUTER 450 N TL-WR940N,60.09,58.29,,CONECTIVIDAD,ROUTER INALAMBRICO,TP-LINK,10.5
TL-WN722N,TP-LINK WIFI USB 150 N 1-ANT TL-WN722N,31.26,30.32,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
TL-WN822N,TP-LINK WIFI USB 300 N 2-ANT TL-WN822N,37.91,36.77,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
TL-WN821N,TP-LINK WIFI USB 300 N WN821N,31.85,30.9,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
TL-WN823N,TP-LINK WIFI USB MINI 300 N WN823N,33.01,32.01,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
TL-WN725N,TP-LINK WIFI USB NANO 150 N TL-WN725N,25.83,25.06,,CONECTIVIDAD,ADAPTADORES USB INALAMBRICOS,TP-LINK,10.5
GAB-MF3301,GABINETE E-VIEW KIT-MF3301 600W (TEC+MOU)  (COMPONENTES),79.91,77.52,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-MF609,GABINETE E-VIEW KIT-MF609 600W (TEC+MOU)  (COMPONENTES),79.91,77.52,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-S609,GABINETE E-VIEW S609 600W  (COMPONENTES),71.8,69.65,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-K1-650,GABINETE GAMING E-VIEW KIT-K1 RGB  650W 80+  (TEC+MOU+CAM+COOLER),163.15,158.26,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
GAB-K2-750,GABINETE GAMING E-VIEW KIT-K2 RGB 750W 80+ (TEC+MOU+CAM+COOLERX4),204.17,198.05,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
CM-5908,GABINETE KIT-CM-5908 500W (TEC+MOU) (EQUIPO),79.75,77.35,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
LC728-12,GABINETE KIT-LC728-12 500W (TEC+MOU),95.41,92.55,,GABINETES PARA PC / FUENTES,GABINETES CON KIT,GENERAL,10.5
YD3200C5FHBOX,CPU AMD RYZEN 3 3200G  SOCKET AM4 (BOX)                       *PROMO EN KIT O PC,239.22,232.05,216.29,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000147BOX,CPU AMD RYZEN 5 4600G 6 CORE 4.2GHZ AM4 (BOX)          *PROMO EN KIT O PC,262.01,254.15,246.53,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000252BOX,CPU AMD RYZEN 5 5600G 6 CORE 3.9GHZ AM4 (BOX)          *PROMO EN KIT O PC,364.53,353.6,341.7,HARDWARE,MICROPROCESADORES,AMD,10.5
100-100000263BOX,CPU AMD RYZEN 7 5700G  AM4                                                     *PROMO EN KIT O PC,512.6,497.25,475.15,HARDWARE,MICROPROCESADORES,AMD,10.5
