Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
BX8070110400,CPU INTEL CORE I5-10400 2.90GHZ S1200 ,366.98,355.98,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8070811400,CPU INTEL CORE I5-11400 2.60GHZ S1200,431.03,418.1,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512400,CPU INTEL CORE I5-12400 S1700 BOX,487.39,472.77,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512700,CPU INTEL CORE I7-12700 3.6GHZ S1700 (BOX) ,806.82,782.61,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX8071512900,CPU INTEL CORE I9-12900 S1700,1111.23,1077.92,,HARDWARE,MICROPROCESADORES,INTEL,10.5
80662G4400MPK,CPU INTEL PENTIUM DC G4400 3.3 GHZ S1151 (TRAY+COOLER),82.01,79.56,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX80701G6400,CPU INTEL PENTIUM GOLD G6400 4.00GHZ 1200 ,154.08,149.46,,HARDWARE,MICROPROCESADORES,INTEL,10.5
BX80715G7400,CPU INTEL PENTIUM GOLD G7400 S1700,169.73,164.65,,HARDWARE,MICROPROCESADORES,INTEL,10.5
MD4GSD31600BL,DDR3 4 GB 1600MHZ UDIMM PNY,37.01,35.9,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GSD31600BL,DDR3 8 GB 1600MHZ UDIMM PNY,49.6,46.6,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KF432C16BB/16,DDR4 16 GB 3200MHZ FURY BEAST BLK KINGSTON,110.15,106.84,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KF432C16BBA/16,DDR4 16 GB 3200MHZ FURY BEAST RGB KINGSTON,114.25,110.83,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KVR32N22S8/16,DDR4 16 GB 3200MHZ KINGSTON 1RX8,96.88,93.97,88.40 ,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
MD16GSD4320016-TB,DDR4 16 GB 3200MHZ PNY LONGDIMM RETAIL,80.15,77.75,71.83 ,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD16GD4320016LP,DDR4 16 GB 3200MHZ PNY XLR8 GAMING LOW PROFILE ,97.57,94.64,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD16GD4320016XR,DDR4 16 GB 3200MHZ PNY XLR8 GAMING RETAIL,97.14,94.29,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MN16GSD43200XR-RB,DDR4 16 GB 3200MHZ SODIMM GAMING PNY,93.33,90.53,71.86 ,HARDWARE,MEMORIAS PARA NOTEBOOK,PNY,10.5
MD32GSD43200-TB,DDR4 32 GB 3200MHZ  UDIMM PNY,159.97,155.18,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KVR32N22D8/32,DDR4 32 GB 3200MHZ CL22 KINGSTON,199.72,193.72,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
MD4GSD42666-TB,DDR4 4 GB 2666MHZ PNY UDIMM 1.2V,22.79,22.1,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD4GSD42666BL,DDR4 4 GB 2666MHZ PNY UDIMM 1.2V,22.79,22.1,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MN4GSD42666TB,DDR4 4 GB 2666MHZ SODIMM PNY,33.84,32.82,27.63 ,HARDWARE,MEMORIAS PARA NOTEBOOK,PNY,10.5
KVR32N22S6/8,DDR4 8 GB 3200MHZ CL22 KINGSTON,57.16,55.45,49.73 ,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KF432C16BB/8,DDR4 8 GB 3200MHZ FURY BEAST BLK KINGSTON,59.31,57.53,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
KF432C16BBA/8,DDR4 8 GB 3200MHZ FURY BEAST RGB KINGSTON,64.29,62.36,,HARDWARE,MEMORIAS PARA COMPUTADORAS,KINGSTON,10.5
LD4AU008G-R3200USST,DDR4 8 GB 3200MHZ LEXAR (SOLO EN KIT i3-9100),36.45,35.36,,HARDWARE,MEMORIAS PARA COMPUTADORAS,LEXAR,10.5
MD8GD4320016XR,DDR4 8 GB 3200MHZ PNY GAMING RETAIL,51.26,49.73,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GD4320016XRGB,DDR4 8 GB 3200MHZ PNY GAMING RETAIL XLR8 RGB,54.68,53.04,,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
