ID,DETALLE,CODIGO ALFA,CODIGO PRODUCTO,CATEGORIA,SUBCATEGORIA,MARCA,PRECIO,IVA,IMP. INTERNO,MARKUP,PRECIO PUBLICO,COTIZACION,PRECIO PUBLICO ARS,URI,FECHA HORA
10117,Gabinete COOLER MASTER MasterBox NR200P Blanco Mini ITX S/Fuente,CM-GABMBNR200PW,MCB-NR200P-WGNN-S00,Hardware,Gabinetes,COOLER MASTER,143.82,10.5,0.0,10,158.2,365.5,57822.1,https://elit.com.ar/producto/10117-gabinete-cooler-master-master-box-nr200p-blanco-mini-itx-s-fuente,8/18/2023 3:47:36 PM 
10128,Auricular TRUST GXT 433K Pylo Negro y Gris,TRUAURGXT433K,23939,Audio,Auriculares,TRUST,31.23,21.0,0.0,10,34.35,365.5,12554.93,https://elit.com.ar/producto/10128-auricular-trust-gxt-433k-pylo-negro-y-gris,8/18/2023 3:47:36 PM 
10243,Conector Modulo NEXXT RJ45 x50 Cat 5E,NEXCABCONCAT5E,AW102NXT02,Cables,Cables,NEXXT,13.57,21.0,0.0,10,14.93,365.5,5456.92,https://elit.com.ar/producto/10243-conector-modulo-nexxt-rj45-x50-cat-5e,8/18/2023 3:47:36 PM 
10251,Patch Panel Rack NEXXT 48 Puertos Cat 5E,NEXACCCAT5E48,AW190NXT11,Cables,Cables,NEXXT,78.46,21.0,0.0,10,86.31,365.5,31546.31,https://elit.com.ar/producto/10251-patch-panel-rack-nexxt-48-puertos-cat-5e,8/18/2023 3:47:36 PM 
10253,Patch Panel Rack NEXXT 48 Puertos Cat 6,NEXACCCAT648,AW191NXT11,Cables,Cables,NEXXT,107.47,21.0,0.0,10,118.22,365.5,43209.41,https://elit.com.ar/producto/10253-patch-panel-rack-nexxt-48-puertos-cat-6,8/18/2023 3:47:36 PM 
10302,Auricular XTECH Aktive Deportivo Negro,XTEMOUXTH-710,XTH-710,Audio,Auriculares,XTECH,16.45,21.0,0.0,10,18.1,365.5,6615.55,https://elit.com.ar/producto/10302-auricular-xtech-aktive-deportivo-negro,8/18/2023 3:47:36 PM 
10314,Procesador AMD Ryzen 5 5600X 3.80GHz AM4 DDR4,AMDPRO5600X6COR,100-100000065BOX,Hardware,Procesadores,AMD,601.01,10.5,0.0,10,661.11,365.5,241635.71,https://elit.com.ar/producto/10314-procesador-amd-ryzen-5-5600x-3-80g-hz-am4-ddr4,8/18/2023 3:47:36 PM 
10325,Memoria Ram UDIMM KINGSTON KVR 8GB DDR4 2666MHz CL19 1.20V Single Negro,KINMEM26N19S6/8,KVR26N19S6/8,Memorias,Memorias PC,KINGSTON,45.95,10.5,0.0,10,50.55,365.5,18476.02,https://elit.com.ar/producto/10325-memoria-ram-udimm-kingston-kvr-8gb-ddr4-2666m-hz-cl19-1-20v-single-negro,8/18/2023 3:47:36 PM 
10388,Auricular TRUST GXT 444 Wayman Negro,TRUAURGXT444,23248,Audio,Auriculares,TRUST,70.4,21.0,0.0,10,77.44,365.5,28304.32,https://elit.com.ar/producto/10388-auricular-trust-gxt-444-wayman-negro,8/18/2023 3:47:36 PM 
10469,Cámara Web GENIUS FaceCam 1000X V2 Negro,GENCAM3400,32200003400,Perifericos,Camaras Web,GENIUS,29.39,21.0,0.0,10,32.33,365.5,11816.62,https://elit.com.ar/producto/10469-camara-web-genius-face-cam-1000x-v2-negro,8/18/2023 3:47:36 PM 
